行政區,主題,景點名稱,簡介,地址,門票,開放時間-一,開放時間-二,開放時間-三,開放時間-四,開放時間-五,開放時間-六,開放時間-日
北投,宗教與古蹟,北投文物館,北投文物館建於１９２１年。當時係北投地區最高級的「佳山溫泉旅館」。現存有臺灣原住民族文物一千餘件，以及以閩、客為主的漢民族文物共三千餘件。,臺北市北投區幽雅路32號,120,不開放,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00
北投,宗教與古蹟,關渡宮,台北市關渡宮擁有三百多年歷史，主祀天上聖母媽祖，是北台灣地區最早的媽祖廟，而除了參拜天上聖母媽祖與諸神明外，來到這裡還可以觀賞許多珍貴的古蹟文物以及豐富的宮廟建築藝術。,臺北市北投區知行路360號,無,06:00 – 21:00,06:00 – 21:00,06:00 – 21:00,06:00 – 21:00,06:00 – 21:00,06:00 – 21:00,06:00 – 21:00
北投,宗教與古蹟,農禪寺,農禪寺位於台北市大業路附近，以水月道場及金剛經牆聞名，大殿簡約隆重，前面的水池在不同光影下，能倒映出不同的景色，正呼應當初「空中花，水中月」的設計構想，一旁則留有開山農舍及入慈悲門等歷史建築。,臺北市北投區大業路65巷89號,無,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00
北投,宗教與古蹟,北投溫泉博物館,這座早在日據時代就享有盛名的溫泉公共浴場，有著英國都鐸時期的鄉村建築風格，沉穩的紅色磚牆與黑色的瓦與綠蔭相稱，搭配著空氣中淡淡的溫泉味，昔日的氤氳時光，彷彿就在眼前重現。,臺北市北投區中山路二號,無,不開放,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00
北投,宗教與古蹟,新北投車站,新北投車站為舊台鐵北淡線僅存的百年車站，廢線之後站體曾被遷移至彰化的台灣民俗村，於２０１７年運回新北投原址附近重新開幕，為日治時期留存之木造建築中，少數採用哥德式構架者。,臺北市北投區七星街1號,無,不開放,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00,10:00 – 20:30,10:00 – 20:30,10:00 – 20:30
北投,宗教與古蹟,前日軍衛戍醫院北投分院,日軍衛戍醫院北投分院為日據初期利用北投溫泉所建之軍用療養所，其大型日式建築物現況完整，正門依然保有當年的氣派，前後廊亦為其主要特色，周圍庭院寬廣，古木參天，整體環境保存良好。,臺北市北投區中心街1號,50,不開放,13:30 – 16:30,13:30 – 16:30,13:30 – 16:30,13:30 – 16:30,09:00 – 12:00,09:00 – 12:00
北投,宗教與古蹟,北投神社原址,現為凱達格蘭文化館，內設原住民歷史相關文化展覽。而北投神社原址已無痕跡，仍有?犬一對，在北投逸仙國小。,臺北市北投區中山路3-1號,無,不開放,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00
北投,休閒與生態,關渡自然公園,關渡自然公園位處淡水河及基隆河的交會口，自古以來，即是重要的候鳥棲地，園方經常舉辦濕地環境教育活動展示如主題特展、假日講座、親子ＤＩＹ教室、營隊等。除了保持濕地自然環境之外，也提供市民及遊客體驗自然、假日休閒的好去處。,臺北市北投區關渡路55號,60,不開放,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00
北投,休閒與生態,地熱谷,地熱谷位在北投溫泉公園旁邊，是北投溫泉的源頭之一，因為終年瀰漫著硫磺煙霧，讓人聯想到恐怖的地獄，所以又被稱為「地獄谷」或「鬼湖」。,臺北市北投區溫泉路,無,不開放,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00
北投,休閒與生態,小油坑,小油坑為一處後火山活動地質景觀區，以「後火山作用」所形成之噴氣孔、硫磺結晶、溫泉及壯觀的崩塌地形最具特色。除此之外，這裡的眺望平台還可遠眺竹子山、大屯山、七星山與小觀音山等火山錐體。,臺北市北投區竹子湖路69號,無,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放
北投,休閒與生態,北投露天溫泉,北投露天溫泉又稱作「千禧湯」，園區泉水源頭來自地熱谷，屬於一般人俗稱的青磺泉，現場有公告泡湯守則，而且有入池要穿泳裝，淋浴後再入池的規定。這裡每天開放六個場次，時間跟相關資訊可上公園處網站查詢。,臺北市北投區中山路6號,40,05:30 – 22:00,05:30 – 22:00,05:30 – 22:00,05:30 – 22:00,05:30 – 22:00,05:30 – 22:00,05:30 – 22:00
北投,休閒與生態,關渡自行車道,穿越關渡平原的自行車道，沿途保留了都會臺北極其珍貴的稻香田園，連結起河口紅樹林自然保護區，能夠體會早年農村氛圍的樸素簡單、踏實自在。,臺北市北投區,無,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放
北投,休閒與生態,竹子湖,竹子湖位於陽明山國家公園核心區。兩百年前漢人初到此地開墾時，因見土地泥濘且遍地竹林，於是稱此為竹子湖。海芋季期間（２／２７至４／１７），及五月下旬盛開的紫藍色繡球花，相當適合拍照留念。,臺北市北投區竹子湖路52號,無,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放
北投,休閒與生態,洲美蜆仔港公園,洲美蜆仔港公園，是一座兼顧滯洪、休憩與生態的濕地公園，園區可一邊欣賞河道之草澤溼地生態，並可遠眺七星山及大屯山系之壯麗山形，公園設施含賞景曲徑、親水平台、人行拱橋、休憩廊架、賞遊散步環道等設施。,臺北市北投區承德路六段329號,無,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放
北投,休閒與生態,軍艦岩,軍艦岩為大屯山系的著名山嶺，嶺上突出的巨岩聳立在層層山巒間，乍看之下如同海上艦艇，因此得名軍艦岩。自頂上向右眺望可欣賞士林到北投的稜線、地景風光。,臺北市北投區陽明大學「動物中心」東側步行約50分鐘抵登山口,無,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放
北投,休閒與生態,湖山國小,位在陽明山內的湖山國小，具得天獨厚的自然生態，以擁有溫泉泡腳池聞名，加上樹屋、沙坑、磨石溜滑梯等純樸遊具特色遊戲場，使得湖山國小成為親近自然、找悠閒的好去處。,臺北市北投區湖底路11號,無,不開放,不開放,不開放,不開放,不開放,09:00 – 17:00,09:00 – 17:00
北投,休閒與生態,貴子坑親山步道,貴子坑是個有特殊地質景觀的小山谷、五指山層的古老地層。早期因開採過度，導致水土失衡，因此當時被稱『鬼子坑』。經整治規劃，現在貴子坑區擁有露營場、水土保持教學園區及環山步道，是一座最佳的戶外地質教室。,臺北市北投區秀山路159巷,無,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放
北投,休閒與生態,關渡碼頭,關渡碼頭位於關渡自然公園及關渡宮旁，每當假日或夜晚均可見遊客駐足關渡碼頭週邊散步，亦有許多單車族由八里經關渡大橋前來，或由淡水前來，沿途風光明媚，是一處極佳的賞景地點。,臺北市北投區關渡碼頭,無,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放
北投,休閒與生態,臺北藝術大學,台北藝術大學擁有俯瞰關渡平原的遼闊視野，獨樹一格的校內建築，沿坡而上，校舍則採紅磚、灰牆與黑瓦屋頂，並加上裝飾的線條，隨處可見的裝置藝術品打造出特殊的風格意象，每個角落都可以看到藝術在生活中的流動痕跡。,臺北市北投區學園路1號,無,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放,全日開放
北投,商圈,北投市場,北投中央市場主體建築有兩層樓，歷史悠久，具寬闊的賣場空間，進駐各類攤商，青菜蔬果齊全，南北雜貨便宜，鮮蚵、米糕及滷肉飯等小吃都非常出名，獨有的飲茶文化更是一絕。北投市場不僅是台北市最大的公有市場，也是北投人的生活中心。,臺北市北投區新市街30號,無,不開放,06:00 – 18:00,06:00 – 18:00,06:00 – 18:00,06:00 – 18:00,06:00 – 18:00,06:00 – 18:00
北投,商圈,石牌商圈,商圈範圍大致上為石牌路二段與裕民六路之間，有許多美食小吃，十分熱鬧，為石牌人重要的生活區域。,臺北市北投區石牌路二段90巷20號,無,07:00 – 24:00,07:00 – 24:00,07:00 – 24:00,07:00 – 24:00,07:00 – 24:00,07:00 – 24:00,07:00 – 24:00
北投,商圈,ＢＡＤOU新北投文創天地,台灣唯一以溫泉為主題，提供美食、美學、美藝三大特點，串連北投在地文化的商店街，除了有知名美食、文創商品和伴手禮之外，還有每月主題活動、街頭藝人表演，想體驗不一樣的新北投之旅，先來看看這裡有什麼吧,臺北市北投區七星街2號,無,11:00 – 23:30,11:00 – 23:30,11:00 – 23:30,11:00 – 23:30,11:00 – 23:30,11:00 – 23:30,11:00 – 23:30
北投,商圈,新北投攤販集中場(復興市場),據有歷史的傳統菜市場，是新北投居民採購新鮮食材的好選擇,臺北市北投區復興四路8巷,無,不開放,06:00 – 14:00,06:00 – 14:00,06:00 – 14:00,06:00 – 14:00,06:00 – 14:00,06:00 – 14:00
北投,藝文與文化,北投圖書館,臺北市立圖書館北投分館是臺灣首座綠建築圖書館，室內書香，戶外鳥語，相映成趣。座落於在綠意盎然的北投公園內，讓閱讀成了一件愜意、享受的活動。,臺北市北投區光明路251號,無,09:00 – 17:00,08:30 – 21:00,08:30 – 21:00,08:30 – 21:00,08:30 – 21:00,08:30 – 21:00,09:00 – 17:00
北投,藝文與文化,北投文物館,北投文物館建於１９２１年。當時係北投地區最高級的「佳山溫泉旅館」。現存有臺灣原住民族文物一千餘件，以及以閩、客為主的漢民族文物共三千餘件。,臺北市北投區幽雅路32號,120,不開放,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00
北投,藝文與文化,北投溫泉博物館,這座早在日據時代就享有盛名的溫泉公共浴場，有著英國都鐸時期的鄉村建築風格，沉穩的紅色磚牆與黑色的瓦與綠蔭相稱，搭配著空氣中淡淡的溫泉味，昔日的氤氳時光，彷彿就在眼前重現。,臺北市北投區中山路二號,無,不開放,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00,09:00 – 17:00
北投,藝文與文化,新北投車站,新北投車站為舊台鐵北淡線僅存的百年車站，廢線之後站體曾被遷移至彰化的台灣民俗村，於２０１７年運回新北投原址附近重新開幕，為日治時期留存之木造建築中，少數採用哥德式構架者。,臺北市北投區七星街1號,無,不開放,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00,10:00 – 20:30,10:00 – 20:30,10:00 – 20:30
北投,藝文與文化,前日軍衛戍醫院北投分院,日軍衛戍醫院北投分院為日據初期利用北投溫泉所建之軍用療養所，其大型日式建築物現況完整，正門依然保有當年的氣派，前後廊亦為其主要特色，周圍庭院寬廣，古木參天，整體環境保存良好。,臺北市北投區中心街1號,50,不開放,13:30 – 16:30,13:30 – 16:30,13:30 – 16:30,13:30 – 16:30,09:00 – 12:00,09:00 – 12:00
北投,藝文與文化,中心新村,中心新村是台北市唯一完整保存的眷村，位於新北投山麓，具有溫泉公共浴室，國民政府來台，成立北投療養所與陸軍醫院，醫院裡的軍醫與相關員工與眷屬就在此居住，形成了特別的眷村聚落文化。,臺北市北投區新民路46巷37號,無,不開放,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00,10:00 – 18:00
